Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
us,c000gx7e,5,"Wednesday, May 15, 2013 10:58:42 UTC",-4.5461,153.2124,5.0,67.80,42,"New Ireland region, Papua New Guinea"
us,c000gx7a,6,"Wednesday, May 15, 2013 10:54:28 UTC",31.4684,86.5691,5.1,26.00,82,"western Xizang"
us,c000gx77,5,"Wednesday, May 15, 2013 10:54:06 UTC",35.5487,-97.1600,2.6,4.30,21,"Oklahoma"
us,c000gx6u,7,"Wednesday, May 15, 2013 10:22:17 UTC",1.0593,97.4404,4.8,41.70,42,"Nias region, Indonesia"
nc,71991856,2,"Wednesday, May 15, 2013 10:14:56 UTC",35.2308,-120.7775,1.0,5.80,21,"Central California"
uw,60530212,2,"Wednesday, May 15, 2013 10:10:45 UTC",47.5182,-122.3223,2.2,38.20,139,"Seattle-Tacoma urban area, Washington"
nc,71991851,7,"Wednesday, May 15, 2013 10:08:52 UTC",37.6073,-119.4352,1.2,7.00, 9,"Central California"
ak,10717364,1,"Wednesday, May 15, 2013 10:07:05 UTC",60.9686,-145.3904,2.2,13.70,26,"Southern Alaska"
nc,71991846,0,"Wednesday, May 15, 2013 09:58:52 UTC",38.7593,-122.7352,1.3,1.40,18,"Northern California"
nc,71991841,0,"Wednesday, May 15, 2013 09:52:00 UTC",38.7943,-122.8095,1.0,3.30,14,"Northern California"
us,c000gx6b,3,"Wednesday, May 15, 2013 09:48:35 UTC",1.0627,97.3973,4.6,34.20,32,"Nias region, Indonesia"
nm,051513a,B,"Wednesday, May 15, 2013 09:47:14 UTC",35.5176,-92.4347,2.4,0.10,14,"Arkansas"
uu,60023682,4,"Wednesday, May 15, 2013 09:43:45 UTC",39.4400,-111.2345,1.3,1.80,17,"Utah"
us,c000gx62,6,"Wednesday, May 15, 2013 09:35:04 UTC",36.8141,140.5897,4.6,8.30,36,"near the east coast of Honshu, Japan"
uu,60023677,4,"Wednesday, May 15, 2013 09:15:23 UTC",39.4973,-112.0290,2.3,7.50,30,"Utah"
nc,71991811,0,"Wednesday, May 15, 2013 09:15:11 UTC",37.6067,-122.4608,1.3,8.50,14,"San Francisco Bay area, California"
ci,15342889,3,"Wednesday, May 15, 2013 09:08:54 UTC",32.5920,-115.7410,1.6,10.90,18,"Baja California, Mexico"
nc,71991806,0,"Wednesday, May 15, 2013 09:06:24 UTC",38.8275,-122.7958,1.2,3.10,19,"Northern California"
